rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
163,"inquam, inquis, inquit, inquiunt:","inquam,",say (used with direct speech),Verb: Irregular,,Speech/Oratory,0
164,post,post,after (adv. and prep. +acc.),Preposition,,Time,0
165,audiō -īre -īvī/-iī -ītum,audiō,"hear, listen to",Verb: 4th Conjugation,4th Conjugation,Other Senses,277
166,putō -āre,putō,"think, suppose",Verb: 1st Conjugation,1st Conjugation,Education/Knowledge,227
167,annus -ī m.,annus,year,Noun: 2nd Declension,2nd Declension,Lengths of Time,12
168,stō stāre stetī statum,stō,stand,Verb: 1st Conjugation,1st Conjugation,Life and Being,227
169,vōx vōcis f.,vōx,"voice, utterance",Noun: 3rd Declension,3rd Declension,Speech/Oratory,12
170,genus generis n.,genus,"origin, lineage, kind",Noun: 3rd Declension,3rd Declension,The Household,12
171,referō referre rettulī relātum,referō,bring back; report,Verb: Irregular,Irregular,Verbs of Transport,291
172,sciō -īre -īvī/-iī -ītum,sciō,know,Verb: 4th Conjugation,4th Conjugation,Education/Knowledge,293
173,mēns mentis f.,mēns,mind,Noun: 3rd Declension,3rd Declension,The Body,13
174,reddō -dere -didī -ditum,reddō,"return, give back",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Transport,260
175,licet licēre licuit licitum est,licet,it is permitted (+ dat. + infin.),Verb: Impersonal,,Justice,0
176,sōlus -a -um,sōlus,"only, alone",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,80
177,fugiō fugere fūgī fugitum,fugiō,"flee, escape",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Travel,260
178,ūllus -a -um,ūllus,"any, anyone",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Pronouns/Interrogatives,80
179,nēmō,nēmō,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",Pronoun,Pronoun,Pronouns/Interrogatives,12
180,nātūra -ae f.,nātūra,nature,Noun: 1st Declension,1st Declension,Life and Being,12
181,mōs mōris m.,mōs,"custom, habit; (pl.) character",Noun: 3rd Declension,3rd Declension,Social Life,12
182,beneficium -ī n.,beneficium,"service, kindness",Noun: 2nd Declension,2nd Declension,Social Life,11
183,pectus -oris n.,pectus,"chest, breast",Noun: 3rd Declension,3rd Declension,The Body,12
184,fidēs -eī f.,fidēs,"trust, faith",Noun: 5th Declension,5th Declension,Personality Traits/Characteristics,16
185,patior patī passus sum,patior,"permit, endure",Verb: Deponent,Deponent,Verbs of Compelling/Directing,228
186,cūra -ae f.,cūra,"care, concern",Noun: 1st Declension,1st Declension,Love,12
187,īra irae f.,īra,"wrath, anger",Noun: 1st Declension,1st Declension,Emotions,12
188,verbum -ī n.,verbum,word,Noun: 2nd Declension,2nd Declension,Writing/Poetry,12
189,prope,prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",Preposition,,Place,0
190,parēns -ntis m./f.,parēns,parent,Noun: 3rd Declension,3rd Declension,The Household,12
