rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
363,tamquam,tamquam,"so as, just as",Adverb,,Conjunctions/Adverbs,0
364,fuga -ae f.,fuga,"flight, route",Noun: 1st Declension,1st Declension,Travel,12
365,tūtus -a -um,tūtus,"safe, protected",Adjective: 1st and 2nd Declension,1st and 2nd Declension,War and Peace,84
366,auris -is f.,auris,ear,Noun: 3rd Declension,3rd Declension,The Body,12
367,aliēnus -a -um,aliēnus,"foreign, strange",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Geography,84
368,hūc,hūc,to this place,Adverb,,Place,0
369,taceō -ēre -uī -itum,taceō,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,2nd Conjugation,Other Senses,227
370,legiō -ōnis f.,legiō,legion,Noun: 3rd Declension,3rd Declension,War and Peace,12
371,ostendō ostendere ostendī ostentum,ostendō,"show, hold out",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Other Senses,326
372,socius -a -um,socius,"friendly, allied; socius -ī m.: partner, comrade",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Social Life,84
373,prōsum prodesse profuī,prōsum,"be of use, do good, help (+ dat.)",Verb: Irregular,Irregular,Social Life,143
374,āra -ae f.,āra,altar,Noun: 1st Declension,1st Declension,Religion,12
375,lūmen luminis n.,lūmen,light,Noun: 3rd Declension,3rd Declension,Vision,12
376,tegō tegere tēxī tēctum,tegō,"cover, conceal",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Deception,260
377,turpis -e,turpis,"ugly, unsightly; disgraceful",Adjective: 3rd Declension,3rd Declension,Other Senses,73
378,voluptās -ātis f.,voluptās,"pleasure, enjoyment",Noun: 3rd Declension,3rd Declension,Social Life,12
379,adhūc,adhūc,"thus far, to this point",Adverb,,Place,0
380,grātia -ae f.,grātia,"favor, influence, gratitude",Noun: 1st Declension,1st Declension,Social Life,12
381,iniūria -ae f.:,iniūria,"injustice, wrong, affront",Noun: 1st Declension,1st Declension,Justice,12
382,latus -eris n.,latus,"side, flank",Noun: 3rd Declension,3rd Declension,The Body,12
383,dulcis -e,dulcis,sweet,Adjective: 3rd Declension,3rd Declension,Other Senses,73
384,postquam,postquam,after,Conjunction,,Time,0
385,extrēmus -a -um,extrēmus,"farthest, situated at the end or tip, extreme",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Geography,12
386,tēctum -ī n.,tēctum,"roof; building, house",Noun: 2nd Declension,2nd Declension,The House,12
387,ingenium -ī n.,ingenium,"disposition, ability, talent",Noun: 2nd Declension,2nd Declension,Education/Knowledge,12
388,pāx pācis f.,pāx,peace,Noun: 3rd Declension,3rd Declension,War and Peace,12
389,canō canere cecinī cantum,canō,sing,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Writing/Poetry,360
390,iuvō iuvāre iūvī iūtum,iuvō,"help, assist; please, delight",Verb: 1st Conjugation,1st Conjugation,Social Life,227
391,campus -ī m.,campus,"plain, field",Noun: 2nd Declension,2nd Declension,Earth and Water,12
392,claudō claudere clausī clausum,claudō,"close, shut",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,The House,260
393,doceō -ēre -uī doctum,doceō,teach,Verb: 2nd Conjugation,2nd Conjugation,Education/Knowledge,227
394,excipiō -cipere -cēpī -ceptum,excipiō,take out,Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Verbs of Transport,260
395,clārus -a -um,clārus,"clear, distinguished",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
396,illīc,illīc,"at that place, there; illinc: from that place",Adverb,,Place,0
397,procul,procul,at a distance,Adverb,,Place,0
398,sacer sacra sacrum,sacer,"holy, sacred",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Religion,84
399,mora -ae f.,mora,"delay, hindrance",Noun: 1st Declension,1st Declension,Time,12
400,longē,longē,"far, far off",Adverb,,Measurement,0
401,super,super,over (adv. and prep. +acc.),Adverb,,Place,0
402,errō -āre,errō,"go astray, wander",Verb: 1st Conjugation,1st Conjugation,Travel,227
403,sēdēs -is f.,sēdēs,"seat, abode, habitation",Noun: 3rd Declension,3rd Declension,The House,12
404,cūr,cūr,why?,Adverb,,Pronouns/Interrogatives,0
405,coma -ae f.,coma,"hair, tresses",Noun: 1st Declension,1st Declension,The Body,24
406,aiō,aiō,"say, affirm, say yes; ut āiunt: as they say",Verb: Irregular,Irregular,Speech/Oratory,21
407,gaudeō gaudēre gāvīsus sum,gaudeō,rejoice,Verb: 2nd Conjugation,2nd Conjugation,Emotions,195
408,beātus -a -um,beātus,"happy, blessed, prosperous, fortunate",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,136
409,perveniō -venīre -vēnī -ventum,perveniō,"arrive, reach",Verb: 4th Conjugation,4th Conjugation,Travel,277
410,vērus -a -um,vērus,true,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Speech/Oratory,84
411,incipiō -cipere -cēpī -ceptum,incipiō,begin,Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Time,260
412,parcō parcere pepercī parsum,parcō,"spare, be sparing of (+ dat.)",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,324
413,vestis -is f.,vestis,"garment, robe, clothing",Noun: 3rd Declension,3rd Declension,Life and Being,12
414,similis -e,similis,"like, similar",Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,73
415,caedēs -is f.,caedēs,"killing, slaughter",Noun: 3rd Declension,3rd Declension,Violence,12
416,ōrdō -īnis m.,ōrdō,"order, rank",Noun: 3rd Declension,3rd Declension,War and Peace,12
417,optō -āre,optō,"choose, select",Verb: 1st Conjugation,1st Conjugation,Personality Traits/Characteristics,227
418,virgō -inis f.,virgō,"maiden, virgin, girl",Noun: 3rd Declension,3rd Declension,People,12
419,legō legere lēgī lēctum,legō,"gather, choose, read",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Writing/Poetry,485
420,aura -ae f.,aura,breeze,Noun: 1st Declension,1st Declension,Air and Fire,12
421,impetus -ūs m.,impetus,attack,Noun: 4th Declension,4th Declension,Violence,12
422,fōrma -ae f.,fōrma,shape; beauty,Noun: 1st Declension,1st Declension,Other Senses,12
423,praestō -stāre -stitī -stitum,praestō,"excel, exhibit",Verb: 1st Conjugation,1st Conjugation,Other Senses,325
424,aequor aequoris n.,aequor,"level surface, sea, plain",Noun: 3rd Declension,3rd Declension,Earth and Water,12
425,misceō miscēre miscuī mixtum,misceō,mix,Verb: 2nd Conjugation,2nd Conjugation,Earth and Water,227
426,spatium -ī n.,spatium,space,Noun: 2nd Declension,2nd Declension,Air and Fire,11
427,tandem,tandem,finally,Adverb,,Conjunctions/Adverbs,0
428,īnferus -a -um,īnferus,low; īnferior: lower; īnfimus or īmus: lowest,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Geography,84
429,metuō metuere metuī,metuō,"to fear, to dread",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Emotions,194
430,temptō -āre,temptō,"try, test",Verb: 1st Conjugation,1st Conjugation,Making/Doing,227
431,trānseō -īre -iī -itum,trānseō,go across,Verb: Irregular,Irregular,Travel,196
432,ultimus -a -um,ultimus,"farthest, final, last, ultimate",Adjective: 1st and 2nd Declension,,Geography,0
433,addō -dere -didī -ditum,addō,give to,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Social Life,260
434,grātus -a -um,grātus,pleasant; grateful,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
435,laudō -āre,laudō,praise,Verb: 1st Conjugation,1st Conjugation,Social Life,227
436,nōndum,nōndum,not yet,Adverb,,Conjunctions/Adverbs,0
437,impōnō -ere -posuī -positum,impōnō,"put in, put on, impose, levy upon",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Measurement,260
438,somnus -ī m.,somnus,"sleep, slumber; (pl.) dreams",Noun: 2nd Declension,2nd Declension,Life and Being,12
439,aciēs -ēī f.,aciēs,edge; line of battle,Noun: 5th Declension,5th Declension,War and Peace,12
440,rūrsus,rūrsus,"back, again",Adverb,,Place,0
441,cupiō -ere -īvī -ītum,cupiō,desire,Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Love,260
442,exspectō -āre,exspectō,"watch, wait, expect",Verb: 1st Conjugation,1st Conjugation,Vision,227
443,compōnō -pōnere posuī positum,compōnō,"build, construct, arrange",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Making/Doing,260
444,laus laudis f.,laus,"praise, glory",Noun: 3rd Declension,3rd Declension,Social Life,12
445,absum abesse āfuī,absum,"be away, absent",Verb: Irregular,Irregular,Travel,248
446,ūsus -ūs m.,ūsus,"use, experience",Noun: 4th Declension,4th Declension,Education/Knowledge,12
447,velut,velut,"even as, just as",Adverb,,Conjunctions/Adverbs,0
448,comes comitis m./f.,comes,"companion, comrade; attendant, follower",Noun: 3rd Declension,3rd Declension,Social Life,24
449,ob,ob,"against, on account of (+acc)",Preposition,,Place,0
450,studium -ī n.,studium,"eagerness, zeal",Noun: 2nd Declension,2nd Declension,Emotions,11
451,facilis -e,facilis,easy,Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,73
452,nūmen -inis n.,nūmen,"divine will, deity",Noun: 3rd Declension,3rd Declension,Religion,12
453,sapiēns -ntis,sapiēns,"wise; (as subst.) wise man, sage, philosopher",Adjective: 3rd Declension,3rd Declension,Education/Knowledge,71
454,sūmō sūmere sūmpsī sūmptum,sūmō,take up,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,358
455,nōbilis -e,nōbilis,"distinguished, noble; (as subst.) a nobleman or woman",Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,73
456,quīn,quīn,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)",Adverb,,Conjunctions/Adverbs,0
457,fleō flēre flēvī flētum,fleō,weep,Verb: 2nd Conjugation,2nd Conjugation,Emotions,227
458,nōlō nōlle nōluī,nōlō,be unwilling,Verb: Irregular,Irregular,Emotions,66
459,plēnus -a -um,plēnus,full,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
460,adversus (-um),adversus,"(adv. and prep.) facing, opposite, against, opposed (to)",Adverb,,War and Peace,0
461,nemus nemoris n.,nemus,"grove, forest",Noun: 3rd Declension,3rd Declension,Animals/Plants,12
462,cārus -a -um,cārus,dear,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
463,dēsum -esse -fuī,dēsum,be lacking,Verb: Irregular,Irregular,Business/Money,178
464,lēgātus -ī m.,lēgātus,"lieutenant, envoy",Noun: 2nd Declension,2nd Declension,War and Peace,12
465,discō -ere didicī,discō,learn,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,260
466,furor -ōris m.,furor,"rage, fury",Noun: 3rd Declension,3rd Declension,Emotions,12
467,amnis -is m.,amnis,"river, torrent",Noun: 3rd Declension,3rd Declension,Earth and Water,12
468,arbor arboris f.,arbor,tree,Noun: 3rd Declension,3rd Declension,Animals/Plants,12
469,mox,mox,soon,Adverb,,Time,0
470,eō,eō,"(adv.) there, to that place",Adverb,,Place,0
471,cīvis -is m./f.,cīvis,citizen,Noun: 3rd Declension,3rd Declension,The City,12
472,occupō -āre,occupō,"seize, occupy; anticipate, do a thing first (+ infin.)",Verb: 1st Conjugation,1st Conjugation,War and Peace,227
473,spectō -āre,spectō,"look at, consider",Verb: 1st Conjugation,1st Conjugation,Vision,227
474,tergum -ī n.,tergum,"back, rear; ā tergō: from the rear",Noun: 2nd Declension,2nd Declension,The Body,12
475,crīmen -inis n.,crīmen,"verdict, accusation",Noun: 3rd Declension,3rd Declension,Justice,12
476,dōnum -ī n.,dōnum,"gift, present",Noun: 2nd Declension,2nd Declension,Social Life,12
477,nōtus -a -um,nōtus,well-known,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
478,sinus -ūs m.,sinus,"fold of a garment; lap, bay, gulf",Noun: 4th Declension,4th Declension,Earth and Water,22
479,faciēs -ēī f.,faciēs,"form, appearance",Noun: 5th Declension,5th Declension,Vision,12
480,rumpō rumpere rūpī ruptum,rumpō,"break, rupture",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,260
481,membrum -ī n.,membrum,"limb, member of the body",Noun: 2nd Declension,2nd Declension,The Body,12
482,umquam,umquam,ever,Adverb,,Time,0
483,aspiciō -ere -spēxī -spectum,aspiciō,"look to or at, behold",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Vision,260
484,prius or priusquam,prius,before,Adverb,,Time,0
485,templum -ī n.,templum,consecrated ground; temple,Noun: 2nd Declension,2nd Declension,Religion,14
486,āmittō -mittere -mīsī -missum,āmittō,"let go, send away",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
487,pōscō pōscere popōscī,pōscō,"demand, claim; inquire into",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Speech/Oratory,194
488,perdō -dere -didī -ditum,perdō,destroy,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,260
489,quamvīs,quamvīs,however you like; although,Adverb,,Conjunctions/Adverbs,0
490,tener -era -erum,tener,tender,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Other Senses,84
491,currus -ūs m.,currus,chariot,Noun: 4th Declension,4th Declension,Athletics,12
492,precor -ārī,precor,"pray, invoke",Verb: Deponent,Deponent,Religion,195
493,anima -ae f.,anima,"breath, spirit",Noun: 1st Declension,1st Declension,Life and Being,12
494,contingō -tingere -tigī -tactum,contingō,"touch, be contiguous to",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Place,260
495,lībertās -ātis f.,lībertās,freedom,Noun: 3rd Declension,3rd Declension,The City,12
496,servus -ī m.,servus,slave,Noun: 2nd Declension,2nd Declension,The Household,12
497,soror -ōris f.,soror,sister,Noun: 3rd Declension,3rd Declension,The Household,12
498,fluctus -ūs m,fluctus,"flood, billow, surf",Noun: 4th Declension,4th Declension,Earth and Water,12
499,quīppe,quīppe,"(adv.) indeed, surely",Adverb,,Conjunctions/Adverbs,0
500,exigō -igere -ēgī -āctum,exigō,drive out; collect,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
501,fēmina -ae f.,fēmina,woman,Noun: 1st Declension,1st Declension,People,12
502,nimius -a -um,nimius,"too much, excessive",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
503,fallō fallere fefellī falsum,fallō,deceive,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Deception,260
504,mīror mīrārī mīrātus sum,mīror,"wonder at, marvel at (+ acc.)",Verb: Deponent,Deponent,Emotions,195
505,classis -is f.,classis,"class, division, fleet",Noun: 3rd Declension,3rd Declension,War and Peace,12
506,sedeō sedēre sēdī sessum,sedeō,sit,Verb: 2nd Conjugation,2nd Conjugation,The House,227
507,singulī -ae -a,singulī,one each,Adjective: 1st and 2nd Declension,,Measurement,0
508,mūrus -ī m.,mūrus,wall,Noun: 2nd Declension,2nd Declension,The House,12
509,noceō nocēre nocuī,noceō,harm,Verb: 2nd Conjugation,2nd Conjugation,Violence,227
510,quoniam,quoniam,"since, seeing that",Conjunction,,Conjunctions/Adverbs,0
511,fax facis f.,fax,torch,Noun: 3rd Declension,3rd Declension,Air and Fire,12
512,intellegō -legere -lēxī -lēctum:,intellegō,understand,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,279
513,iungō iungere iūnxī iūnctum,iungō,join,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Making/Doing,260
514,afferō afferre attulī allātum,afferō,bring to,Verb: Irregular,Irregular,Verbs of Transport,259
515,cōgitō -āre,cōgitō,"think, reflect",Verb: 1st Conjugation,1st Conjugation,Education/Knowledge,227
516,līmen līminis n.,līmen,threshold,Noun: 3rd Declension,3rd Declension,The House,12
517,pūblicus -a -um,pūblicus,"public, belonging to the state",Adjective: 1st and 2nd Declension,1st and 2nd Declension,The City,84
518,queror querī questus sum,queror,"complain of, lament",Verb: Deponent,Deponent,Emotions,228
519,exemplum -ī n.,exemplum,"example, sample, copy",Noun: 2nd Declension,2nd Declension,Speech/Oratory,12
520,prex precis f.,prex,"prayers, entreaties",Noun: 3rd Declension,3rd Declension,Religion,12
521,dubitō -āre,dubitō,"hesitate, doubt",Verb: 1st Conjugation,1st Conjugation,Education/Knowledge,227
522,odium -ī n.,odium,hatred,Noun: 2nd Declension,2nd Declension,Emotions,11
523,fundō fundere fūdī fūsum,fundō,"pour, scatter",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Earth and Water,485
524,fūnus fūneris n.,fūnus,funeral; death; dead body,Noun: 3rd Declension,3rd Declension,Religion,12
525,nesciō -scīre,nesciō,"not know, be ignorant",Verb: 4th Conjugation,4th Conjugation,Education/Knowledge,277
526,prior prius,prior,"earlier, preceding",Adjective: 3rd Declension,3rd Declension,Time,12
527,ūsque,ūsque,up to; continuously,Adverb,,Time,0
528,dubius -a -um,dubius,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Deception,84
529,tendō tendere tetendī tentum,tendō,"stretch, extend, direct (one’s steps or course)",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,326
530,pecūnia -ae f.,pecūnia,money,Noun: 1st Declension,1st Declension,Business/Money,12
531,quemadmodum,quemadmodum,"in what manner, how",Adverb,,Pronouns/Interrogatives,0
532,spargō spargere sparsī sparsum,spargō,scatter,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Earth and Water,260
533,trēs tria,trēs,three,Adjective: Numeral,Numeral,Measurement,62
534,tangō tangere tetigī tāctum,tangō,touch,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Other Senses,260
535,respondeō -spondēre -spondī -spōnsum,respondeō,answer,Verb: 2nd Conjugation,2nd Conjugation,Speech/Oratory,227
536,timor -ōris m.,timor,fear,Noun: 3rd Declension,3rd Declension,Emotions,12
537,properō -āre,properō,"hasten, speed",Verb: 1st Conjugation,1st Conjugation,Motion,227
538,subeō -īre -iī -itum,subeō,go under; endure,Verb: Irregular,Irregular,Motion,196
539,valeō valēre valuī,valeō,"be strong, excel, be valid, prevail; valē: farewell!",Verb: 2nd Conjugation,2nd Conjugation,Social Life,227
540,condō -dere -didī -ditum,condō,"build, found; store up; hide, conceal",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,The City,260
541,nefās n. indecl.,nefās,"impiety, wickedness",Noun: Indeclinable,,Justice,0
542,quondam,quondam,"formerly, once",Adverb,,Time,0
543,auxilium -ī n.,auxilium,"support, assistance; (pl.) auxiliary forces",Noun: 2nd Declension,2nd Declension,War and Peace,11
544,dēserō -ere dēseruī dēsertum,dēserō,"leave, desert, abandon",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,358
545,nūdus -a -um,nūdus,"naked, bare",Adjective: 1st and 2nd Declension,1st and 2nd Declension,The Body,84
546,auctor -ōris m.,auctor,"originator, founder",Noun: 3rd Declension,3rd Declension,Writing/Poetry,12
547,animal -ālis n.,animal,"a living being, an animal",Noun: 3rd Declension,3rd Declension,Animals/Plants,12
548,decus decoris n.,decus,"beauty, grace; ornament, glory, honor",Noun: 3rd Declension,3rd Declension,Personality Traits/Characteristics,12
549,salūs -ūtis f.,salūs,"health, safety",Noun: 3rd Declension,3rd Declension,Life and Being,12
550,pateō patēre patuī,pateō,"lie open, extend; be evident or obvious",Verb: 2nd Conjugation,2nd Conjugation,Geography,161
551,rogō -āre,rogō,ask,Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,227
552,uxor uxōris f.,uxor,wife,Noun: 3rd Declension,3rd Declension,The Household,12
553,abeō -īre -iī -itum,abeō,go away,Verb: Irregular,Irregular,Motion,196
554,regō regere rēxī rēctum,regō,"guide, rule",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,The City,260
555,adeō,adeō,"(adv.) to such a degree, so",Adverb,,Conjunctions/Adverbs,0
556,auferō auferre abstulī ablātum,auferō,take away,Verb: Irregular,Irregular,Verbs of Transport,291
557,quantum,quantum,(adv.) how much? how greatly? how much! how greatly! as much as,Adverb,,Pronouns/Interrogatives,0
558,senex -is m.,senex,"old man, elder; senior, older",Noun: 3rd Declension,3rd Declension,People,12
559,frōns frontis f.,frōns,"forehead, brow; front",Noun: 3rd Declension,3rd Declension,The Body,24
560,propter,propter,because of (+ acc.),Preposition,,Non-Directional Prepositions,0
561,rēgius -a -um,rēgius,"kingly, royal",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
562,currō currere cucurrī cursum,currō,run,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Athletics,260
563,pellō pellere pepulī pulsum,pellō,"strike, beat, push, drive",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,260
564,dīves dīvitis,dīves,"rich (poet. dīs, dītis)",Adjective: 3rd Declension,3rd Declension,Business/Money,71
565,iūdicō -āre,iūdicō,"judge, decide",Verb: 1st Conjugation,1st Conjugation,Justice,227
566,pecus -oris n.,pecus,"cattle, sheep",Noun: 3rd Declension,3rd Declension,Animals/Plants,24
567,potēns potentis,potēns,"able, powerful",Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,71
568,scrībō scrībere scrīpsī scrīptum,scrībō,write,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Writing/Poetry,260
569,pulcher -chra -chrum,pulcher,beautiful,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Vision,84
570,surgō surgere surrēxī surrēctum,surgō,rise,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Earth and Water,260
571,cēterum,cēterum,"for the rest, in addition, however that may be",Adverb,,Pronouns/Interrogatives,0
572,careō -ēre -uī,careō,lack (+ abl.),Verb: 2nd Conjugation,2nd Conjugation,Business/Money,227
573,efficiō -ficere -fēcī -fectum,efficiō,"bring about, complete; render (+ ut + subj.)",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Making/Doing,260
574,ōlim,ōlim,"formerly, at that time",Adverb,,Time,0
575,sermō -ōnis m.,sermō,"conversation, discourse",Noun: 3rd Declension,3rd Declension,Speech/Oratory,12
576,exerceō -ercēre -ercuī -ercitum,exerceō,"train, exercise, carry on",Verb: 2nd Conjugation,2nd Conjugation,Athletics,227
577,gradus -ūs m.,gradus,"step, pace; grade, rank",Noun: 4th Declension,4th Declension,War and Peace,12
578,agitō -āre,agitō,drive,Verb: 1st Conjugation,1st Conjugation,Verbs of Compelling/Directing,227
579,forte,forte,by chance,Adverb,,Religion,0
580,honestus -a -um,honestus,honorable,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
581,moror morārī morātus sum,moror,delay,Verb: Deponent,Deponent,Time,195
582,praesidium -ī n.,praesidium,"garrison, protection",Noun: 2nd Declension,2nd Declension,War and Peace,11
583,sonō sonāre sonuī sonitum,sonō,"sound, resound",Verb: 1st Conjugation,1st Conjugation,Other Senses,485
584,praebeō -ēre -uī -itum,praebeō,"furnish, supply, render",Verb: 2nd Conjugation,2nd Conjugation,Verbs of Transport,227
585,regiō -ōnis f.,regiō,"boundary, region",Noun: 3rd Declension,3rd Declension,Geography,14
586,sententia -ae f.,sententia,"opinion, judgment",Noun: 1st Declension,1st Declension,Education/Knowledge,12
587,ācer ācris ācre,ācer,"sharp, piercing",Adjective: 3rd Declension,3rd Declension,Other Senses,75
588,suprā,suprā,"above, beyond (adv. and prep. +acc.)",Preposition,,Place,0
589,brevis -e,brevis,"short, shallow, brief",Adjective: 3rd Declension,3rd Declension,Measurement,73
590,citus -a -um,citus,swift; citō swiftly,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Time,84
591,cornu -ūs n.,cornu,horn,Noun: 4th Declension,4th Declension,Animals/Plants,12
592,ingrātus -a -um:,ingrātus,"unpleasant, disagreeable",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
593,moenia -ium n. pl.,moenia,"walls, fortifications",Noun: 3rd Declension,,The City,0
594,vinculum -ī n.,vinculum,"bond, fetter, tie",Noun: 2nd Declension,2nd Declension,War and Peace,12
595,adeō -īre -iī -itum,adeō,go to,Verb: Irregular,Irregular,Motion,196
596,cēterus -a -um,cēterus,"the other, the others, the rest",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Pronouns/Interrogatives,84
597,exeō -īre -iī -itum,exeō,go forth,Verb: Irregular,Irregular,Motion,196
598,mālō mālle māluī,mālō,prefer,Verb: Irregular,Irregular,Emotions,69
599,speciēs -ēī f.,speciēs,"aspect, appearance",Noun: 5th Declension,5th Declension,Vision,12
600,ultrā,ultrā,"beyond, further (adv. and prep. + acc.)",Preposition,,Place,0
601,certē,certē,"certainly, surely",Adverb,,Measurement,0
602,imperō -āre,imperō,"command, control",Verb: 1st Conjugation,1st Conjugation,War and Peace,227
603,male,male,(adv.) badly,Adverb,,Personality Traits/Characteristics,0
604,prohibeō -ēre -uī -itum,prohibeō,"restrain, keep away",Verb: 2nd Conjugation,2nd Conjugation,Verbs of Compelling/Directing,227
605,clāmor -ōris m.,clāmor,"outcry, shout",Noun: 3rd Declension,3rd Declension,Speech/Oratory,12
606,dōnō -āre,dōnō,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,1st Conjugation,Social Life,227
607,officium -ī n.,officium,"service, duty",Noun: 2nd Declension,2nd Declension,The City,11
608,committō -mittere -mīsī -missum,committō,"join, entrust to (+ dat.); perform, do",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Social Life,260
609,crēscō crēscere crēvī crētum,crēscō,"grow, increase",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Animals/Plants,260
610,aequus -a -um,aequus,equal,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Justice,84
611,factum -ī n.,factum,"deed, accomplishment",Noun: 2nd Declension,2nd Declension,Making/Doing,12
612,caedō caedere cecīdī caesum,caedō,"strike, kill, cut down",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,294
613,exīstimō -āre,exīstimō,"think, believe",Verb: 1st Conjugation,1st Conjugation,Education/Knowledge,227
614,accēdō -cēdere -cessī -cessum,accēdō,approach,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
615,contemnō -temnere -tempsī -temptum,contemnō,"despise, scorn, disdain",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Emotions,358
616,pudor pudōris m.,pudor,"sense of shame, modesty, propriety",Noun: 3rd Declension,3rd Declension,Personality Traits/Characteristics,12
617,antīquus -a -um,antīquus,"ancient, old-time, former",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Lengths of Time,84
618,ārdeō ārdēre ārsī ārsum,ārdeō,"blaze, glow; be eager",Verb: 2nd Conjugation,2nd Conjugation,Air and Fire,227
619,ibi,ibi,there,Adverb,,Place,0
620,prōvincia -ae f.,prōvincia,province; official duty,Noun: 1st Declension,1st Declension,The City,12
621,quandō,quandō,when?; since; sī quandō: if ever,Adverb,,Pronouns/Interrogatives,0
622,custōs custōdis m.,custōs,guardian,Noun: 3rd Declension,3rd Declension,The Household,12
623,supersum -esse -fuī,supersum,"remain, survive; be superfluous (to)",Verb: Irregular,Irregular,Place,143
624,dēsinō -sinere -siī -situm,dēsinō,"leave off, cease",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,485
625,fessus -a -um,fessus,"weary, tired",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Life and Being,84
626,praeda -ae f.,praeda,"booty, prey",Noun: 1st Declension,1st Declension,War and Peace,12
627,memoria -ae f.,memoria,"recollection, memory",Noun: 1st Declension,1st Declension,Education/Knowledge,12
